1152.83	6137.27
1153.33	6289.0
1154.08	6132.37
1154.08	6134.21
1155.75	6130.2
1158.25	6121.75
1159.25	6108.2
1161.92	6100.6
1165.42	6097.8
1166.42	6013.82
1168.42	5968.34
1173.08	5918.65
1176.25	5869.06
1180.42	5823.08
1187.42	5800.29
1193.42	5797.27
1194.42	5770.37
1205.42	5766.97
1206.08	5755.78
1208.08	5720.32
1220.08	5719.59
1234.67	5714.39
1241.67	5690.28
1247.0	5665.45
1253.5	5631.51
1255.5	5630.98
1257.67	5595.09
1261.83	5566.96
1268.0	5504.83
1275.67	5498.17
1278.25	5455.99
1280.83	5433.49
1283.83	5422.1
1290.83	5410.19
1295.25	5353.53
1307.5	5337.71
1310.5	5286.5
1320.0	5285.55
1336.5	5264.43
1340.08	5234.19
1344.0	5205.1
1349.0	5191.89
1359.42	5159.36
1362.42	5048.77
1379.0	5038.57
1393.5	5017.15
1408.75	4970.56
1414.17	4856.98
1424.17	4804.94
1441.75	4768.24
1478.58	4741.22
1483.58	4720.77
1508.5	4706.07
1529.75	4692.49
1530.0	4645.53
1539.08	4520.29
1546.08	4498.27
1562.92	4458.5
1564.92	4410.43
1574.42	4392.33
1579.92	4344.23
1588.75	4246.6
1605.75	4228.8
1620.5	4185.24
1632.5	4022.6
1657.5	4006.01
1671.5	3985.1
1672.5	3960.41
1684.25	3913.48
1686.25	3863.05
1691.25	3838.31
